ID,Text
1,"I love these cookies. I am on the paleo diet right now and these cookies are what I look forward too. I do like the taste of the tropical one the best. They all have different taste but if you want something that is grain free and gluten free then this is the right place. I expected the taste to be different and it is. Other reviewers seem to expect them to taste like oreos or chips ahoy. Of course not.<br /><br />When I eat them, I don't even feel bad about it because my body welcomes them. They don't make me crash either and feel like I ate junk food. It is a good indicator that these were made from all natural ingredients. I wish I had these cookies close to me. I'd buy them every single day!"
2,"I thought I'd try the multi-pack to see which flavor I liked the best, but I like them all. They are healthy, fulfilling, and all good ingredients I can actually pronounce. These are the smaller packs, and now I can proceed to ordering the larger bags. Love these cookies!"
3,i just started the paleo diet and i love it! lost 4 lbs in like a week! anyway i was so glad to find out there are paleo cookies out there and thank goddess they're good!! i loved the original and when they sent me them i got a sample of tropical and i loved that too! so i ordered the tropical and got a sample of rainforest! at first they're good but if you read the ingredients u'll see there is cayenne pepper in it and im really sensitive to hot spices and i could SOOO feel it on my tong! it was like an after taste. but if u enjoy a little fire with ur sweet u'll like rainforest flavor! really wanna try the alpine flavored ones they're a lot darker in color so it should be interesting :) good job caveman bakery! I LOVE YOU!
4,"I've been Paleo for six months, as has my partner. We both found these inedible. All four kinds (which, by the way, taste nearly the same).<br /><br />I'm not sure what it is about them either. It seems like they would be good from the ingredients. But something about the combination of flavors just does not taste good. I kept trying them again, hoping that they would grow on me. They sure didn't. We finally tossed them.<br /><br />So, I would advise getting just one from a local co-op or something before you buy a whole bunch online. I sure which I had."
5,"I bought a 40 sampler pack from the caveman bakery website. It's not exactly like a cookie consistency however the texture and chewiness of the cookie I like. They kind of remind me of like those natural nut and fruit bars, like kind or something. Of the ones I've tried, Alpine and Tropical are my favorites mainly because alpine has hazelnut and tropical has a coconut taste in it. The least favorite that I've tried is either the rainforest, it has a strong taste of ginger and I'm not a fan of ginger. The other ones are pretty good too. However, I didn't realize that these cookies were so small, but I guess based on the big portions of today's society, this is a normal portion.<br /><br />Overall its good, would I buy again? Maybe if I was on a strict gluten-free diet."
6,Formula itself is great. Works wonders for a baby that spits up but WTF... why is it so expensive here? $121 for 6 12.9oz cans. That's $20 for a 12.9oz can when you can buy a 24oz can at any store for less than $25. Almost double the price...I don't get it.
7,"With all of the choices of things to drink, this is an excellent one. It tastes great. Most of our choices are either loaded with sugar, or carbonated ... even milk is sugar-dense. This drink is good for blood pressure and cholesterol. It is an excellent thirst-quencher. So much better for the hot summer months than sugary lemonade! It does, however acidify the pH. I am supposed to be alkalizing my diet, so I can't drink a lot of this. :(<br /><br />From the time I was a small child, my mother was an advocate of apple cider vinegar and honey for health. Hippocrates would have been happy to discover Bragg Organic Apple Cider Vinegar All Natural Drink: Concord Grape Acai :))) Try it and drink to good health!"
8,"This may not be the best tasting thing I have ever drank but man do I feel instant results after drinking some. I would best describe the effects as very close to the good feeling you experience when you drink coffee. I notice that my circulation feels fantastic like my whole body is warm, a very healthy dose of energy and I dont notice any jitteryness like coffee or energy drinks give you.  The only reason I didnt rate it 5 start is because a 16oz bottle is $3.00 which I think is a little steep. But for the great feeling I get when I drink some I would highly recommend it to anyone else who wants to feel a boost of energy as well as a general sense of well being."
9,"Let me preface this by saying I purchased it at a local health food store for about a dollar less. I was pleasantly surprised with this drink. It tastes great, but definitely a little tangy. What I loved about this was how great I felt after drinking it. I felt awake and focused, and just overall really good. I will definitely be buying more."
10,"I love using generous amounts of vinegar on sandwiches, salads, etc., but this drink was so vinegary that I got a bit of a tummy ache.  It tasted closer to salad dressing than it did a drink.  I tried really hard to like it, but no go."
11,"I bought this drink locally and I have to tell you, they got it 'just right'. If you are like me and you like the flavor of vinegar, this drink will not disappoint, if you also like the flavor of grape. The mixture was done perfectly, No stinging taste, it's sort of mellow, yet has that flavor of vinegar you are looking for. I am highly impressed with it. I went back today and bought 5 more bottle of it at the local Co-op. Braggs is a highly regarded apple cider vinegar, so, to have that kind of base to start with means alot. I can pretty much promise you, that you will 'not' be disappointed if you buy it. They have a couple other flavors, which I will eventually try, but this one has me hooked. hehe )"
12,This is the best ever.  Just add HOT water and mix.  Yummy with anything can even add to cream sauces and soups.  Add some sausage and you are in Heaven.  Yummy Yum.  Cannot go wrong ordering this product.
13,"<a href=""http://www.amazon.com/gp/product/B000KOUM68"">Pioneer Brand Gravy Mix, Country, 2.75-Ounce Packets (Pack of 24)</a><br /><br />I had this gravy  at the Breakfast Buffet in the motel in Branson, MO.<br />Very Good!!! The waitress told me the name, so I looked it up on the Internet and found it at Amazon.  I give it the Excellent Rating"
14,"We use these for our daughter for a few reasons. One, they are healthier than other cereal bars on the market (whole grain). Two, they have yogurt incorporated into the bar. Three, the are thick and do not easily crumble. Since our daughter starting eating them when she was about 1, not having to clean up after she's eaten them is a BIG plus.<br /><br />Plus, they are super yummy for adults too.<br /><br />They are more expensive than others on the market (esp since I can get Nutrigrain bars in bulk at a discount) but they are worth it. Makes our life easier and they don't have a ton of added sugars!"
15,"These are really excellent breakfast bars. Note to the previous reviewer: the Nutrigrain bars, last I checked, had artificial color in them. These don't. They also taste very good. This is our third order through Amazon (great price) and my daughter misses them when we're out."
